region_L,chi,cavity_sc,cavity_tc,neighborhood_sc,neighborhood_tc
3,1,0.000,4.322,0.000,5.209
3,2,5.000,10.000,8.000,12.859
3,4,9.000,15.000,16.000,22.147
3,8,13.000,20.000,24.000,32.029
3,16,17.000,25.000,32.000,42.006
3,32,21.000,30.000,40.000,52.001
3,64,25.000,35.000,48.000,62.000
3,128,29.000,40.000,56.000,72.000
5,1,0.000,5.858,0.000,6.539
5,2,7.000,12.833,12.000,18.057
5,4,13.000,20.195,25.000,32.645
5,8,19.000,27.931,37.000,48.175
5,16,25.000,35.813,49.000,64.045
5,32,31.000,43.756,61.000,80.011
5,64,37.000,51.728,73.000,96.003
5,128,43.000,59.714,85.000,112.001
5,256,49.000,67.707,97.000,128.000
5,512,55.000,75.704,109.000,144.000
