region_L,q,cavity_sc,cavity_tc,neighborhood_sc,neighborhood_tc
3,2,3.000,6.728,4.000,8.524
3,3,4.755,8.765,6.340,11.268
3,4,6.000,10.344,8.000,13.338
3,5,6.966,11.600,9.288,14.993
3,6,7.755,12.598,10.340,16.387
3,8,9.000,14.190,12.000,18.645
3,10,9.966,15.439,13.288,20.439
3,16,12.000,18.093,16.000,24.304
3,32,15.000,22.046,20.000,30.145
3,64,18.000,26.023,24.000,36.070
5,2,3.000,8.762,6.000,11.160
5,4,6.000,12.766,12.000,18.219
5,8,9.000,16.943,18.000,25.864
5,16,12.000,21.264,24.000,33.715
5,32,20.000,25.786,30.000,41.648
5,64,18.000,30.428,36.000,49.616
5,128,21.000,35.229,42.000,57.604
5,256,24.000,40.119,48.000,65.593
5,512,27.000,45.061,54.000,73.589
7,2,5.000,10.576,8.000,13.713
7,4,8.000,15.898,16.000,23.111
7,8,12.000,21.590,24.000,33.770
7,16,16.000,27.448,32.000,44.412
7,32,20.000,33.383,40.000,55.215
7,64,24.000,39.352,48.000,67.023
7,128,35.000,49.067,56.000,78.011
9,2,6.000,12.238,10.000,16.269
9,4,12.000,19.089,20.000,28.138
9,8,18.000,26.418,30.000,42.409
9,16,24.000,34.050,40.000,56.192
9,32,30.000,41.828,50.000,70.093
9,64,36.000,49.710,66.000,85.607
9,128,42.000,57.648,70.000,98.023
