chi,method,convergence_step,diff,marginal,marginal_error
4,bp,7,,,
4,tnmp_rank1,,,,
4,tnmp_rank2,,,,
4,gbp,false,,,
8,bp,5,,0.5001615058222957;0.49983849417770426,
8,tnmp_rank1,false,,,
8,tnmp_rank2,8,,0.5001196482953056;0.49988035170469425,
8,bmps_chi=1,,,0.5029197348740251;0.49708026512597503,
8,bmps_chi=2,,,0.5077690441151977;0.49223095588480226,
8,bmps_chi=4,,,0.5658596902879587;0.4341403097120413,
8,bmps_chi=8,,,0.5131162660895326;0.4868837339104673,
8,bmps_chi=16,,,0.500573538815219;0.4994264611847809,
16,bp,5,,,
16,tnmp_rank1,,,,
16,tnmp_rank2,,,,
